node D L T
75684 0.0055001 0.876323 0.275005
2994640 0.0055001 0.876323 0.275005
2592383 0.0055001 0.876323 0.275005
3162458 0.0055001 0.876323 0.275005
2080658 0.0055001 0.876323 0.275005
418701 0.0055001 0.876323 0.275005
2528527 0.0055001 0.876323 0.275005
305900 0.0055001 0.876323 0.275005
2942213 0.0055001 0.876323 0.275005
314283 0.0055001 0.876323 0.275005
418750 0.0055001 0.876323 0.275005
1445510 0.0055001 0.876323 0.275005
1949085 0.0055001 0.876323 0.275005
504092 0.0055001 0.876323 0.275005
2259590 0.0055001 0.876323 0.275005
33074 0.0055001 0.876323 0.275005
376489 0.0055001 0.876323 0.275005
1815562 0.0055001 0.876323 0.275005
1834034 0.0055001 0.876323 0.275005
207954 0.0055001 0.876323 0.275005
1698799 0.0055001 0.876323 0.275005
383750 0.0055001 0.876323 0.275005
717774 0.0055001 0.876323 0.275005
3004091 0.0055001 0.876323 0.275005
2984494 0.0055001 0.876323 0.275005
491948 0.0055001 0.876323 0.275005
84531 0.0055001 0.876323 0.275005
1453541 0.0055001 0.876323 0.275005
2269504 0.0055001 0.876323 0.275005
2546226 0.0055001 0.876323 0.275005
1132694 0.0055001 0.876323 0.275005
2752306 0.0055001 0.876323 0.275005
48664 0.0055001 0.876323 0.275005
56455 0.0055001 0.876323 0.275005
644220 0.0055001 0.876323 0.275005
2250595 0.0055001 0.876323 0.275005
2983605 0.0055001 0.876323 0.275005
2775866 0.0055001 0.876323 0.275005
1465635 0.0055001 0.876323 0.275005
1891675 0.0055001 0.876323 0.275005
1123402 0.0055001 0.876323 0.275005
2590031 0.0055001 0.876323 0.275005
579405 0.0055001 0.876323 0.275005
1917880 0.0055001 0.876323 0.275005
2890317 0.0055001 0.876323 0.275005
580 0.0055001 0.876323 0.275005
61646 0.0055001 0.876323 0.275005
574 0.0055001 0.876323 0.275005
486993 0.0055001 0.876323 0.275005
2724191 0.0055001 0.876323 0.275005
718193 0.0055001 0.876323 0.275005
80854 0.0055001 0.876323 0.275005
1117314 0.0055001 0.876323 0.275005
1365257 0.0055001 0.876323 0.275005
151081 0.0055001 0.876323 0.275005
212020 0.0055001 0.876323 0.275005
220752 0.0055001 0.876323 0.275005
641665 0.0055001 0.876323 0.275005
137584 0.0055001 0.876323 0.275005
3065648 0.0055001 0.876323 0.275005
349064 0.0055001 0.876323 0.275005
751969 0.0055001 0.876323 0.275005
1127673 0.0055001 0.876323 0.275005
1121922 0.0055001 0.876323 0.275005
493475 0.0055001 0.876323 0.275005
2987522 0.0055001 0.876323 0.275005
2259342 0.0055001 0.876323 0.275005
634436 0.0055001 0.876323 0.275005
1563703 0.0055001 0.876323 0.275005
680279 0.0055001 0.876323 0.275005
3075602 0.0055001 0.876323 0.275005
521012 0.0055001 0.876323 0.275005
3133430 0.0055001 0.876323 0.275005
480070 0.0055001 0.876323 0.275005
2606216 0.0055001 0.876323 0.275005
349750 0.0055001 0.876323 0.275005
2950108 0.0055001 0.876323 0.275005
1399147 0.0055001 0.876323 0.275005
2686094 0.0055001 0.876323 0.275005
715226 0.0055001 0.876323 0.275005
3061083 0.0055001 0.876323 0.275005
366602 0.0055001 0.876323 0.275005
565050 0.0055001 0.876323 0.275005
3161137 0.0055001 0.876323 0.275005
363631 0.0055001 0.876323 0.275005
2813778 0.0055001 0.876323 0.275005
1813876 0.0055001 0.876323 0.275005
1298959 0.0055001 0.876323 0.275005
98513 0.0055001 0.876323 0.275005
488538 0.0055001 0.876323 0.275005
2576439 0.0055001 0.876323 0.275005
2959716 0.0055001 0.876323 0.275005
1199156 0.0055001 0.876323 0.275005
582402 0.0055001 0.876323 0.275005
1608422 0.0055001 0.876323 0.275005
1280953 0.0055001 0.876323 0.275005
1280954 0.0055001 0.876323 0.275005
1280952 0.0055001 0.876323 0.275005
1280951 0.0055001 0.876323 0.275005
1280950 0.0055001 0.876323 0.275005
3143536 0.0055001 0.876323 0.275005
1866326 0.0055001 0.876323 0.275005
2666033 0.0055001 0.876323 0.275005
2292771 0.0055001 0.876323 0.275005
2043170 0.0055001 0.876323 0.275005
1505037 0.0055001 0.876323 0.275005
2975056 0.0055001 0.876323 0.275005
3024400 0.0055001 0.876323 0.275005
1456591 0.0055001 0.876323 0.275005
637679 0.0055001 0.876323 0.275005
2161677 0.0055001 0.876323 0.275005
911205 0.0055001 0.876323 0.275005
2030921 0.0055001 0.876323 0.275005
1397666 0.0055001 0.876323 0.275005
1922313 0.0055001 0.876323 0.275005
1303579 0.0055001 0.876323 0.275005
2802395 0.0055001 0.876323 0.275005
693023 0.0055001 0.876323 0.275005
2835040 0.0055001 0.876323 0.275005
568898 0.0055001 0.876323 0.275005
257708 0.0055001 0.876323 0.275005
104100 0.0055001 0.876323 0.275005
1346889 0.0055001 0.876323 0.275005
