node D L T
419665 0.0105952 0.815743 0.529761
330485 0.0105952 0.815743 0.529761
3988 0.0105952 0.815743 0.529761
2952 0.0105952 0.815743 0.529761
1628268 0.0105952 0.815743 0.529761
1381693 0.0105952 0.815743 0.529761
163516 0.0105952 0.815743 0.529761
131310 0.0105952 0.815743 0.529761
37863 0.0105952 0.815743 0.529761
2018661 0.0105952 0.815743 0.529761
69355 0.0105952 0.815743 0.529761
163714 0.0105952 0.815743 0.529761
372326 0.0105952 0.815743 0.529761
45351 0.0105952 0.815743 0.529761
519541 0.0105952 0.815743 0.529761
2056292 0.0105952 0.815743 0.529761
1627895 0.0105952 0.815743 0.529761
157688 0.0105952 0.815743 0.529761
2996794 0.0105952 0.815743 0.529761
1499967 0.0105952 0.815743 0.529761
2292766 0.0105952 0.815743 0.529761
2844893 0.0105952 0.815743 0.529761
2841693 0.0105952 0.815743 0.529761
2024889 0.0105952 0.815743 0.529761
2508984 0.0105952 0.815743 0.529761
2250252 0.0105952 0.815743 0.529761
2268124 0.0105952 0.815743 0.529761
2030807 0.0105952 0.815743 0.529761
1817895 0.0105952 0.815743 0.529761
2052148 0.0105952 0.815743 0.529761
2212470 0.0105952 0.815743 0.529761
1817867 0.0105952 0.815743 0.529761
1817864 0.0105952 0.815743 0.529761
1817863 0.0105952 0.815743 0.529761
2013854 0.0105952 0.815743 0.529761
1974704 0.0105952 0.815743 0.529761
1801733 0.0105952 0.815743 0.529761
2072418 0.0105952 0.815743 0.529761
2840935 0.0105952 0.815743 0.529761
1227550 0.0105952 0.815743 0.529761
869210 0.0105952 0.815743 0.529761
526227 0.0105952 0.815743 0.529761
1408545 0.0105952 0.815743 0.529761
1227551 0.0105952 0.815743 0.529761
1227553 0.0105952 0.815743 0.529761
2026184 0.0105952 0.815743 0.529761
649638 0.0105952 0.815743 0.529761
709986 0.0105952 0.815743 0.529761
546414 0.0105952 0.815743 0.529761
937777 0.0105952 0.815743 0.529761
243230 0.0105952 0.815743 0.529761
1223518 0.0105952 0.815743 0.529761
694439 0.0105952 0.815743 0.529761
694435 0.0105952 0.815743 0.529761
393059 0.0105952 0.815743 0.529761
392561 0.0105952 0.815743 0.529761
32062 0.0105952 0.815743 0.529761
392414 0.0105952 0.815743 0.529761
1211322 0.0105952 0.815743 0.529761
2489213 0.0105952 0.815743 0.529761
1309411 0.0105952 0.815743 0.529761
522487 0.0105952 0.815743 0.529761
1141878 0.0105952 0.815743 0.529761
1848197 0.0105952 0.815743 0.529761
2994950 0.0105952 0.815743 0.529761
1805970 0.0105952 0.815743 0.529761
200252 0.0105952 0.815743 0.529761
1706855 0.0105952 0.815743 0.529761
394230 0.0105952 0.815743 0.529761
521158 0.0105952 0.815743 0.529761
649746 0.0105952 0.815743 0.529761
580340 0.0105952 0.815743 0.529761
1005740 0.0105952 0.815743 0.529761
3029084 0.0105952 0.815743 0.529761
561720 0.0105952 0.815743 0.529761
525903 0.0105952 0.815743 0.529761
584708 0.0105952 0.815743 0.529761
2754 0.0105952 0.815743 0.529761
508460 0.0105952 0.815743 0.529761
1197717 0.0105952 0.815743 0.529761
3016050 0.0105952 0.815743 0.529761
2569760 0.0105952 0.815743 0.529761
3127013 0.0105952 0.815743 0.529761
3127016 0.0105952 0.815743 0.529761
3127014 0.0105952 0.815743 0.529761
3127015 0.0105952 0.815743 0.529761
2088 0.0105952 0.815743 0.529761
315358 0.0105952 0.815743 0.529761
2840900 0.0105952 0.815743 0.529761
2219043 0.0105952 0.815743 0.529761
685828 0.0105952 0.815743 0.529761
661478 0.0105952 0.815743 0.529761
360411 0.0105952 0.815743 0.529761
360412 0.0105952 0.815743 0.529761
913107 0.0105952 0.815743 0.529761
869279 0.0105952 0.815743 0.529761
1678840 0.0105952 0.815743 0.529761
229921 0.0105952 0.815743 0.529761
2841698 0.0105952 0.815743 0.529761
166587 0.0105952 0.815743 0.529761
2509675 0.0105952 0.815743 0.529761
2778369 0.0105952 0.815743 0.529761
644383 0.0105952 0.815743 0.529761
2490863 0.0105952 0.815743 0.529761
2778365 0.0105952 0.815743 0.529761
485913 0.0105952 0.815743 0.529761
2778364 0.0105952 0.815743 0.529761
2014874 0.0105952 0.815743 0.529761
2778368 0.0105952 0.815743 0.529761
2014873 0.0105952 0.815743 0.529761
2014872 0.0105952 0.815743 0.529761
3026934 0.0105952 0.815743 0.529761
1936993 0.0105952 0.815743 0.529761
2014871 0.0105952 0.815743 0.529761
70996 0.0105952 0.815743 0.529761
1973496 0.0105952 0.815743 0.529761
186479 0.0105952 0.815743 0.529761
2364212 0.0105952 0.815743 0.529761
2710758 0.0105952 0.815743 0.529761
1839801 0.0105952 0.815743 0.529761
3038979 0.0105952 0.815743 0.529761
1806508 0.0105952 0.815743 0.529761
872965 0.0105952 0.815743 0.529761
1906157 0.0105952 0.815743 0.529761
2218524 0.0105952 0.815743 0.529761
388085 0.0105952 0.815743 0.529761
2716417 0.0105952 0.815743 0.529761
251221 0.0105952 0.815743 0.529761
3022442 0.0105952 0.815743 0.529761
1925591 0.0105952 0.815743 0.529761
904376 0.0105952 0.815743 0.529761
2839662 0.0105952 0.815743 0.529761
2737172 0.0105952 0.815743 0.529761
2016057 0.0105952 0.815743 0.529761
2107698 0.0105952 0.815743 0.529761
1666911 0.0105952 0.815743 0.529761
1973484 0.0105952 0.815743 0.529761
2547451 0.0105952 0.815743 0.529761
47253 0.0105952 0.815743 0.529761
1921803 0.0105952 0.815743 0.529761
945734 0.0105952 0.815743 0.529761
111780 0.0105952 0.815743 0.529761
1304833 0.0105952 0.815743 0.529761
128403 0.0105952 0.815743 0.529761
1844469 0.0105952 0.815743 0.529761
287848 0.0105952 0.815743 0.529761
234711 0.0105952 0.815743 0.529761
945747 0.0105952 0.815743 0.529761
1641165 0.0105952 0.815743 0.529761
2991925 0.0105952 0.815743 0.529761
915328 0.0105952 0.815743 0.529761
549789 0.0105952 0.815743 0.529761
3110306 0.0105952 0.815743 0.529761
1574623 0.0105952 0.815743 0.529761
2282168 0.0105952 0.815743 0.529761
247279 0.0105952 0.815743 0.529761
1433147 0.0105952 0.815743 0.529761
2292702 0.0105952 0.815743 0.529761
1802564 0.0105952 0.815743 0.529761
1802583 0.0105952 0.815743 0.529761
2754717 0.0105952 0.815743 0.529761
185139 0.0105952 0.815743 0.529761
1608957 0.0105952 0.815743 0.529761
1670830 0.0105952 0.815743 0.529761
467091 0.0105952 0.815743 0.529761
1313172 0.0105952 0.815743 0.529761
2954438 0.0105952 0.815743 0.529761
1229780 0.0105952 0.815743 0.529761
2789776 0.0105952 0.815743 0.529761
467976 0.0105952 0.815743 0.529761
1121877 0.0105952 0.815743 0.529761
1121881 0.0105952 0.815743 0.529761
525909 0.0105952 0.815743 0.529761
667306 0.0105952 0.815743 0.529761
2664430 0.0105952 0.815743 0.529761
1280514 0.0105952 0.815743 0.529761
1655583 0.0105952 0.815743 0.529761
2884022 0.0105952 0.815743 0.529761
1097667 0.0105952 0.815743 0.529761
912552 0.0105952 0.815743 0.529761
469383 0.0105952 0.815743 0.529761
1940611 0.0105952 0.815743 0.529761
1404360 0.0105952 0.815743 0.529761
490573 0.0105952 0.815743 0.529761
2282478 0.0105952 0.815743 0.529761
166793 0.0105952 0.815743 0.529761
2133960 0.0105952 0.815743 0.529761
2997339 0.0105952 0.815743 0.529761
2949664 0.0105952 0.815743 0.529761
496014 0.0105952 0.815743 0.529761
2898438 0.0105952 0.815743 0.529761
1002870 0.0105952 0.815743 0.529761
1500506 0.0105952 0.815743 0.529761
351607 0.0105952 0.815743 0.529761
2944128 0.0105952 0.815743 0.529761
3075547 0.0105952 0.815743 0.529761
